name,category,author,price,img_paths
This is Going to Hurt,Medical,Adam Kay,7.6,dataset/Medical/0000001.jpg
"Thinking, Fast and Slow",Medical,Daniel Kahneman,11.5,dataset/Medical/0000002.jpg
When Breath Becomes Air,Medical,Paul Kalanithi,9.05,dataset/Medical/0000003.jpg
The Happiness Trap,Medical,Russ Harris,8.34,dataset/Medical/0000004.jpg
Man's Search For Meaning,Medical,Viktor E. Frankl,9.66,dataset/Medical/0000005.jpg
The Man Who Mistook His Wife for a Hat,Medical,Oliver Sacks,5.92,dataset/Medical/0000006.jpg
The 8-week Blood Sugar Diet,Medical,Michael Mosley,8.85,dataset/Medical/0000007.jpg
The Clever Guts Diet,Medical,Michael Mosley,8.92,dataset/Medical/0000008.jpg
12 Rules for Life,Medical,Jordan B. Peterson,18.31,dataset/Medical/0000009.jpg
Being Mortal,Medical,Atul Gawande,9.03,dataset/Medical/0000010.jpg
Gut,Medical,Giulia Enders,10.49,dataset/Medical/0000011.jpg
The Brain That Changes Itself,Medical,Norman Doidge,11.03,dataset/Medical/0000012.jpg
Medical Medium Liver Rescue,Medical,Anthony William,23.76,dataset/Medical/0000013.jpg
Wreck This Journal,Medical,Keri Smith,9.59,dataset/Medical/0000014.jpg
12 Rules for Life,Medical,Jordan B. Peterson,20.99,dataset/Medical/0000015.jpg
12 Rules for Life,Medical,Jordan B. Peterson,10.26,dataset/Medical/0000016.jpg
Gut and Psychology Syndrome,Medical,Dr Natasha Campbell-McBride,19.48,dataset/Medical/0000017.jpg
Medical Medium Thyroid Healing,Medical,Anthony William,17.26,dataset/Medical/0000018.jpg
Steal Like an Artist,Medical,Austin Kleon,8.81,dataset/Medical/0000019.jpg
Sitting Still Like A Frog,Medical,Eline Snel,10.4,dataset/Medical/0000020.jpg
How Not To Die,Medical,Michael Greger,10.33,dataset/Medical/0000021.jpg
The Whole-Brain Child,Medical,Tina Payne Bryson,11.23,dataset/Medical/0000022.jpg
Birth Skills,Medical,Juju Sundin,17.03,dataset/Medical/0000023.jpg
Diagnostic and Statistical Manual of Mental Disorders (DSM-5),Medical,American Psychiatric Association,95.94,dataset/Medical/0000024.jpg
Medical Medium Celery Juice,Medical,Anthony William,14.01,dataset/Medical/0000025.jpg
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Medical,Philippa Perry,13.03,dataset/Medical/0000026.jpg
Publication Manual of the American Psychological Association,Medical,American Psychological Association,30.49,dataset/Medical/0000027.jpg
Proof of Heaven,Medical,Dr. Eben Alexander,13.01,dataset/Medical/0000028.jpg
The Immortal Life of Henrietta Lacks,Medical,Rebecca Skloot,8.48,dataset/Medical/0000029.jpg
The Complete Guide to Asperger's Syndrome,Medical,Tony Attwood,20.08,dataset/Medical/0000030.jpg
The Checklist Manifesto,Medical,Atul Gawande,9.04,dataset/Medical/0000031.jpg
Do No Harm,Medical,Henry Marsh,8.0,dataset/Medical/0000032.jpg
The Anatomy Coloring Book,Medical,Wynn Kapit,24.25,dataset/Medical/0000033.jpg
The Plant Paradox,Medical,Steven R. Gundry,16.53,dataset/Medical/0000034.jpg
Wreck This Journal Everywhere,Medical,Keri Smith,5.83,dataset/Medical/0000035.jpg
How to Change Your Mind,Medical,Michael Pollan,10.28,dataset/Medical/0000036.jpg
Raising an Emotionally Intelligent Child,Medical,John Gottman,11.21,dataset/Medical/0000037.jpg
Allen Carr's Easy Way to Stop Smoking,Medical,Allen Carr,9.53,dataset/Medical/0000038.jpg
The Mindful Way through Depression,Medical,J. Mark G. Williams,17.54,dataset/Medical/0000039.jpg
Call The Midwife,Medical,Jennifer Worth,7.9,dataset/Medical/0000040.jpg
The Dialectical Behavior Therapy Skills Workbook,Medical,Matthew McKay,15.49,dataset/Medical/0000041.jpg
The Reality Slap,Medical,Russ Harris,7.82,dataset/Medical/0000042.jpg
"The Boy Who Was Raised as a Dog, 3rd Edition",Medical,Bruce D. Perry,13.64,dataset/Medical/0000043.jpg
Strength Training Anatomy,Medical,Frederic Delavier,13.83,dataset/Medical/0000044.jpg
The Brain That Changes Itself,Medical,Norman Doidge,15.22,dataset/Medical/0000045.jpg
Lost Ocean,Medical,Johanna Basford,12.39,dataset/Medical/0000046.jpg
Mating in Captivity,Medical,Esther Perel,12.37,dataset/Medical/0000047.jpg
This is Going to Hurt,Medical,Adam Kay,12.81,dataset/Medical/0000048.jpg
You Are the Placebo,Medical,Joe Dispenza,14.4,dataset/Medical/0000049.jpg
Radical Acceptance,Medical,Tara Brach,13.88,dataset/Medical/0000050.jpg
Awakenings,Medical,Oliver Sacks,6.03,dataset/Medical/0000051.jpg
Unnatural Causes,Medical,Dr Richard Shepherd,9.45,dataset/Medical/0000052.jpg
Oxford Handbook of Clinical Medicine,Medical,Ian B. Wilkinson,36.98,dataset/Medical/0000053.jpg
"DBT Skills Training Manual, Second Edition",Medical,Marsha M. Linehan,41.39,dataset/Medical/0000054.jpg
All Cats Have Asperger Syndrome,Medical,Kathy Hoopmann,13.66,dataset/Medical/0000055.jpg
Becoming Supernatural,Medical,Joe Dispenza,17.8,dataset/Medical/0000056.jpg
Anatomy Trains,Medical,Thomas W. Myers,51.23,dataset/Medical/0000057.jpg
Hallucinations,Medical,Oliver Sacks,5.66,dataset/Medical/0000058.jpg
Loving What Is,Medical,Byron Katie,13.71,dataset/Medical/0000059.jpg
An Introductory Guide to Anatomy & Physiology,Medical,Louise Tucker,23.0,dataset/Medical/0000060.jpg
The Body Keeps the Score,Medical,Bessel van der Kolk,14.56,dataset/Medical/0000061.jpg
The Muscular System Anatomical Chart,Medical,Anatomical Chart Company,12.37,dataset/Medical/0000062.jpg
Rewire Your Anxious Brain,Medical,Catherine M. Pittman,10.14,dataset/Medical/0000063.jpg
Shadows Of The Workhouse,Medical,Jennifer Worth,8.04,dataset/Medical/0000064.jpg
Call The Midwife,Medical,Jennifer Worth,7.89,dataset/Medical/0000065.jpg
The Emperor of All Maladies,Medical,Siddhartha Mukherjee,13.44,dataset/Medical/0000066.jpg
Complications,Medical,Atul Gawande,8.99,dataset/Medical/0000067.jpg
Brain Maker,Medical,David Perlmutter,13.73,dataset/Medical/0000068.jpg
The Gift of Therapy,Medical,Irvin Yalom,12.49,dataset/Medical/0000069.jpg
Change Your Thinking,Medical,Dr. Sarah Edelman,17.29,dataset/Medical/0000070.jpg
You Can Heal Your Life,Medical,Louise Hay,14.83,dataset/Medical/0000071.jpg
Gratitude,Medical,Oliver Sacks,7.82,dataset/Medical/0000072.jpg
"DBT (R) Skills Training Handouts and Worksheets, Second Edition",Medical,Marsha M. Linehan,30.06,dataset/Medical/0000073.jpg
